CODIGO,DESCRIPCION
I-2000,PERIODO I-2000
II-2000,PERIODO II-2000
I-2001,PERIODO I-2001
II-2001,PERIODO II-2001
I-2002,PERIODO I-2002
II-2002,PERIODO II-2002
I-2003,PERIODO I-2003
II-2003,PERIODO II-2003
I-2004,PERIODO I-2004
II-2004,PERIODO II-2004
I-2005,PERIODO I-2005
II-2005,PERIODO II-2005
I-2006,PERIODO I-2006
II-2006,PERIODO II-2006
I-2007,PERIODO I-2007
II-2007,PERIODO II-2007
I-2008,PERIODO I-2008
II-2008,PERIODO II-2008
I-2009,PERIODO I-2009
II-2009,PERIODO II-2009
I-2010,PERIODO I-2010
II-2010,PERIODO II-2010
I-2011,PERIODO I-2011
II-2011,PERIODO II-2011
I-2012,PERIODO I-2012
II-2012,PERIODO II-2012
I-2013,PERIODO I-2013
II-2013,PERIODO II-2013
I-2014,PERIODO I-2014
II-2014,PERIODO II-2014